name,ind,sn_power,x_chp1,t,y_chp1,w1+w2,w3+w1+w2,w3,h1,h2,h1/h2,h3/h1,h3/h2,h3,x_chp2,y_chp2,x1,y1,ry1,x2,y2,ry2,x3,y3,ry3,r3,d3,s/n,rs/n,APD10,APD20,APD30,APD40,APD50,APD60,APD70,APD80,APD90,APD100,iap_sn
W5FebD1_10nM_Dofe_51_52_8000,0,8.573697896367232,858,202.0654,45.82537084723388,0.0082,3633,0.7184,0.5827746291527661,0.3633603773871798,1.603847489765756,0.14721890416411942,0.23611666988968835,0.08579544227852132,899,-12.84292046783446,873,1.9393388350506993,628.6,881,-1.1211513405304232,-363.4,4491,-0.3043162702828924,-98.63836274635578,0.0001827088857759995,0.00012284570772984154,112.93493152669616,112.93493152669616,0.1342089552238806,0.26067560784313726,0.3916913428120063,0.5119335714285714,0.6052140202514743,0.6622978074866309,0.6930016284397339,0.711037926418317,0.7244253156146179,0.7407577464788732,52.23463108067488
W5FebD1_10nM_Dofe_51_52_8000,1,6.696969584736612,859,236.169,38.19678334736587,0.0082,3659,0.7236,0.652843216652634,0.4329493842259415,1.50789732111488,0.13219040699304183,0.1993295605818935,0.08629961051195828,900,-3.6517645559951575,875,2.0088711615761534,691.04,882,-1.2586259234140011,-432.96,4518,-0.2614909749336249,-89.95137506795344,0.0001623446603245001,0.00012265436400221472,125.80090306371828,125.80090306371828,0.1359375124378108,0.2626548623853211,0.39582411510312704,0.5206670101276971,0.6166734894613582,0.6745645592705166,0.7052592404014091,0.7232890962772786,0.7366591139561415,0.75215,50.011706879855716
W5FebD1_10nM_Dofe_51_52_8000,2,6.839845063611477,865,238.7512,31.78019978422447,0.0082,3677,0.7272,0.6764598002157756,0.4717651148276006,1.433891101640649,0.14632878724460888,0.20981954594391236,0.09898554218530484,906,1.897759579068861,881,1.9088432169191483,708.24,888,-1.2714840675671768,-471.76,4542,-0.2616702745871942,-97.08778260623598,0.00017292957189805286,0.00013996824404030662,129.07942306913873,129.0794230691387,0.13686392857142854,0.2643456161616162,0.39818836190476203,0.5223427454601417,0.6174445240720323,0.6748483767744385,0.7049778524981937,0.7227420564971752,0.7359188027534033,0.7511545454545455,49.056387093691285
W5FebD1_10nM_Dofe_51_52_8000,3,6.140280746801341,874,241.3076,42.28424444203964,0.0078,3673,0.7268,0.6796357555579603,0.5061052318251102,1.3428743921635953,0.156840035897395,0.21061646787263075,0.10659409629886367,913,8.411889376410613,889,2.1654301867906094,721.92,896,-1.5180087945076903,-506.08,4547,-0.2945017656743158,-98.18220692245306,0.00017513248686040438,0.00015081224716873752,129.87625034762593,129.87625034762596,0.13751211594202908,0.26439246503975866,0.39809435483870986,0.5228906305185922,0.6183758120531154,0.6752971317936661,0.7048953312434691,0.7224128537894031,0.7355745189890168,0.7501515151515152,48.50565495737818
W5FebD1_10nM_Dofe_51_52_8000,4,6.571882589113543,865,243.91240000000002,48.03911292661177,0.0078,3667,0.7256,0.6802008870733882,0.47174724449057426,1.441875697245284,0.13295084719110026,0.19169859549301888,0.09043328419654488,904,-4.733654618223397,880,1.962346840521188,728.24,886,-1.2712247960621166,-471.76,4532,-0.2564409284099107,-95.16693881476827,0.00014851875141053619,0.0001281650853125636,129.39907378714864,129.39907378714867,0.1370456333333334,0.2630947272727274,0.3975604152046785,0.5217803200000001,0.6179341429995018,0.6756479358717435,0.7062809057392515,0.7244235833714024,0.7378666894409938,0.7533606060606061,49.79288845767207
W5FebD1_10nM_Dofe_51_52_8000,5,6.313139031590476,854,246.51360000000003,38.285742120982206,0.0078,3676,0.7274,0.6850342578790178,0.4766505902566166,1.4371832782378653,0.1223939694563053,0.175902566259758,0.08384406203536728,893,-10.27006430380709,869,2.0713264255013417,723.32,876,-1.365038821694381,-476.68,4530,-0.2695087608517722,-94.11412633917436,0.00015565097585750728,0.00011852426072288277,129.24720490719506,129.24720490719506,0.13725155339805833,0.2643224215246638,0.3978800879765398,0.5229576859504136,0.6191871412803531,0.6765057342657342,0.7071819284171552,0.7253298746134114,0.7387096292044053,0.7539257142857143,49.43313875089817
W5FebD1_10nM_Dofe_51_52_8000,6,6.397329550865085,862,249.14280000000002,41.32193213913649,0.0078,3668,0.7258,0.6642380678608635,0.44640374130662935,1.4879760324513194,0.11639427943821719,0.17319189811850857,0.07731351128409882,901,-13.720557867822947,877,1.8645512770714567,705.56,883,-1.179786654764699,-446.44,4530,-0.240571588375513,-91.03406915192176,0.00015805921401896233,0.00010954025401544178,128.1279261549583,128.12792615495826,0.13730125647668384,0.26503303349282303,0.3987600711382115,0.522002766712142,0.6178415948963316,0.6761859049544995,0.7074283767209012,0.7259037293330857,0.7394941939192925,0.754803125,49.84893047265598
W5FebD1_10nM_Dofe_51_52_8000,7,6.24879792688152,856,251.7776,45.958875885315095,0.0078,3668,0.7258,0.6710811241146848,0.4909337980548553,1.3669483070295771,0.12438826924649012,0.17003233406082888,0.08347461955261468,895,-9.713137048345061,871,1.9342713536324547,717.04,877,-1.3244029116637703,-490.96,4524,-0.25138124526178474,-93.18775660095973,0.00015536628558160816,0.00011826950914227072,127.14903213418923,127.1490321341892,0.1380840333333333,0.2650910117647059,0.3988677105395866,0.523573195652174,0.6189525264029819,0.6775953947515355,0.70886807671162,0.7273435527788139,0.7409704113536488,0.7564757575757576,49.48482732231018
W5FebD1_10nM_Dofe_51_52_8000,8,6.3957646595777895,859,254.4086,37.616915076375186,0.0078,3690,0.7302,0.6745030849236248,0.4918547399407343,1.3713461112622367,0.12673076398121963,0.17379174036293787,0.08548029126006043,898,-9.121818365960507,874,1.9719964466083948,712.12,881,-1.362109773855161,-491.88,4549,-0.26197133070854856,-94.60210962602093,0.0001444115290072881,0.00012036087195164802,128.35154337944766,128.3515433794477,0.13801104477611945,0.2643537858220212,0.39911580265095736,0.5247299790209791,0.6201781881661155,0.6784570198360222,0.7096462358349682,0.7280097893513137,0.7416205933802092,0.75746875,49.22805467303058
W5FebD1_10nM_Dofe_51_52_8000,9,6.137279041079817,860,257.0584,37.91369829504171,0.008,3684,0.7288,0.6597663017049582,0.47030055040578433,1.4028610026837076,0.12626785526773762,0.17713625004761965,0.08330727589421216,900,-6.551713527147626,875,2.0711517431485333,697.68,882,-1.3962046895964026,-470.32,4544,-0.26675782963194455,-89.8589894213598,0.0001574881998795959,0.00011753283845120228,126.15476765356247,126.15476765356246,0.13802434027777782,0.2665628028503564,0.4001039939209728,0.5251311618257262,0.6205553348729792,0.6785326384658771,0.7095208176977688,0.728072110047847,0.7417317794382178,0.7586830769230769,49.61392294907821
